date;FFR;GDPC1;GDPDEF;GDPPOT
1947-01-01;;2182,681;11,141;
1947-04-01;;2176,892;11,299;
1947-07-01;;2172,432;11,489;
1947-10-01;;2206,452;11,772;
1948-01-01;;2239,682;11,865;
1948-04-01;;2276,690;11,972;
1948-07-01;;2289,770;12,193;
1948-10-01;;2292,364;12,230;
1949-01-01;;2260,807;12,165;2254,8667160
1949-04-01;;2253,128;12,043;2287,4864270
1949-07-01;;2276,424;11,988;2321,1503430
1949-10-01;;2257,352;11,989;2352,8179520
1950-01-01;;2346,104;11,970;2380,5000090
1950-04-01;;2417,682;12,011;2412,3619290
1950-07-01;;2511,127;12,272;2443,5178430
1950-10-01;;2559,214;12,502;2475,3984480
1951-01-01;;2593,967;12,953;2507,3821120
1951-04-01;;2638,898;13,039;2539,2568440
1951-07-01;;2693,259;13,047;2572,9069860
1951-10-01;;2699,156;13,196;2608,8293480
1952-01-01;;2727,954;13,190;2646,5987630
1952-04-01;;2733,800;13,206;2687,6991010
1952-07-01;;2753,517;13,354;2727,2368080
1952-10-01;;2843,941;13,390;2764,6595940
1953-01-01;;2896,811;13,393;2797,6834930
1953-04-01;;2919,206;13,420;2826,6325900
1953-07-01;;2902,785;13,476;2851,1647910
1953-10-01;;2858,845;13,501;2872,1541750
1954-01-01;;2845,192;13,544;2891,6204910
1954-04-01;;2848,305;13,556;2909,3620110
1954-07-01;1,07;2880,482;13,574;2926,4565050
1954-10-01;1,28;2936,852;13,611;2944,3785180
1955-01-01;1,35;3020,746;13,675;2962,0069660
1955-04-01;1,64;3069,910;13,731;2981,0638390
1955-07-01;2,18;3111,379;13,827;2999,7648440
1955-10-01;2,48;3130,068;13,964;3019,1525950
1956-01-01;2,50;3117,922;14,104;3038,5881380
1956-04-01;2,71;3143,694;14,187;3057,4489700
1956-07-01;2,95;3140,874;14,365;3077,1401460
1956-10-01;2,94;3192,570;14,423;3098,2062360
1957-01-01;2,96;3213,011;14,621;3121,4566770
1957-04-01;3,00;3205,970;14,723;3146,9251370
1957-07-01;3,47;3237,386;14,811;3173,9698620
1957-10-01;2,98;3203,894;14,821;3202,2582870
1958-01-01;1,20;3120,724;14,982;3230,4554740
1958-04-01;0,93;3141,224;15,025;3259,1233000
1958-07-01;1,76;3213,884;15,117;3287,9903570
1958-10-01;2,42;3289,032;15,189;3318,5406460
1959-01-01;2,80;3352,129;15,224;3350,1483770
1959-04-01;3,39;3427,667;15,248;3383,8099530
1959-07-01;3,76;3430,057;15,307;3419,8044930
1959-10-01;3,99;3439,832;15,367;3456,2783050
1960-01-01;3,84;3517,181;15,428;3493,3255420
1960-04-01;3,32;3498,246;15,467;3529,3878300
1960-07-01;2,60;3515,385;15,520;3564,8860660
1960-10-01;1,98;3470,278;15,566;3599,0875860
1961-01-01;2,02;3493,703;15,600;3632,6801730
1961-04-01;1,73;3553,021;15,636;3664,3515920
1961-07-01;1,88;3621,252;15,676;3697,1458370
1961-10-01;2,33;3692,289;15,725;3730,8883430
1962-01-01;2,85;3758,147;15,806;3767,2117380
1962-04-01;2,68;3792,149;15,832;3806,6163560
1962-07-01;2,90;3838,776;15,865;3848,4081400
1962-10-01;2,93;3851,421;15,898;3891,3611040
1963-01-01;2,98;3893,482;15,967;3934,3449450
1963-04-01;2,99;3937,183;15,995;3976,9290570
1963-07-01;3,48;4023,755;16,016;4019,3526310
1963-10-01;3,38;4050,147;16,146;4062,2536530
1964-01-01;3,43;4135,553;16,197;4105,3862140
1964-04-01;3,50;4180,592;16,234;4150,0527630
1964-07-01;3,45;4245,918;16,299;4195,6587400
1964-10-01;3,85;4259,046;16,373;4241,5806750
1965-01-01;4,05;4362,111;16,455;4288,6309970
1965-04-01;4,05;4417,225;16,531;4334,5264830
1965-07-01;4,02;4515,427;16,595;4381,8515240
1965-10-01;4,32;4619,458;16,709;4429,3557230
1966-01-01;4,66;4731,888;16,816;4477,4009720
1966-04-01;5,17;4748,046;16,954;4525,7509450
1966-07-01;5,40;4788,254;17,118;4574,9532510
1966-10-01;5,40;4827,537;17,261;4624,4362400
1967-01-01;4,53;4870,299;17,333;4675,7047460
1967-04-01;3,98;4873,287;17,421;4728,5725290
1967-07-01;3,99;4919,392;17,588;4782,6487860
1967-10-01;4,51;4956,477;17,784;4838,0502210
1968-01-01;5,05;5057,553;17,981;4893,5386350
1968-04-01;6,07;5142,033;18,171;4948,2560100
1968-07-01;5,78;5181,859;18,349;5003,4745940
1968-10-01;6,02;5202,212;18,608;5058,9452970
1969-01-01;6,79;5283,597;18,800;5112,7394100
1969-04-01;8,90;5299,625;19,039;5164,6595380
1969-07-01;9,15;5334,600;19,307;5213,1627000
1969-10-01;8,97;5308,556;19,556;5260,5699820
1970-01-01;7,76;5300,652;19,832;5305,9726010
1970-04-01;7,61;5308,164;20,108;5349,1400510
1970-07-01;6,29;5357,077;20,273;5391,1274030
1970-10-01;4,90;5299,672;20,541;5432,8620720
1971-01-01;3,71;5443,619;20,853;5476,1367170
1971-04-01;4,91;5473,059;21,127;5522,0652660
1971-07-01;5,55;5518,072;21,342;5569,5326240
1971-10-01;4,14;5531,032;21,520;5617,1739670
1972-01-01;3,83;5632,649;21,848;5663,7076210
1972-04-01;4,46;5760,470;21,984;5708,1422570
1972-07-01;4,87;5814,854;22,194;5751,4005740
1972-10-01;5,33;5912,220;22,477;5794,8369860
1973-01-01;7,09;6058,544;22,736;5839,5153260
1973-04-01;8,49;6124,506;23,086;5887,3240440
1973-07-01;10,78;6092,301;23,535;5936,7297890
1973-10-01;9,95;6150,131;24,004;5987,7712280
1974-01-01;9,35;6097,258;24,457;6039,6449560
1974-04-01;11,93;6111,751;25,035;6091,8138170
1974-07-01;11,34;6053,978;25,769;6143,1757790
1974-10-01;8,53;6030,464;26,527;6193,9506440
1975-01-01;5,54;5957,035;27,130;6243,6887440
1975-04-01;5,55;5999,610;27,533;6292,8085380
1975-07-01;6,24;6102,326;28,019;6341,5927700
1975-10-01;5,20;6184,530;28,488;6390,2242500
1976-01-01;4,84;6323,649;28,789;6438,1936180
1976-04-01;5,48;6370,025;29,079;6486,2707950
1976-07-01;5,25;6404,895;29,455;6535,4275220
1976-10-01;4,65;6451,177;29,983;6585,2248860
1977-01-01;4,69;6527,703;30,465;6637,0041240
1977-04-01;5,39;6654,466;30,895;6690,4790000
1977-07-01;6,14;6774,457;31,271;6745,1547550
1977-10-01;6,56;6774,592;31,947;6801,5717070
1978-01-01;6,79;6796,260;32,411;6859,4120310
1978-04-01;7,60;7058,920;33,031;6918,2167930
1978-07-01;8,45;7129,915;33,592;6978,5606720
1978-10-01;10,03;7225,750;34,279;7040,2284380
1979-01-01;10,09;7238,727;34,904;7104,0321120
1979-04-01;10,29;7246,454;35,759;7165,8848730
1979-07-01;11,43;7300,281;36,541;7224,2627170
1979-10-01;13,78;7318,535;37,219;7278,1405490
1980-01-01;17,19;7341,557;38,001;7326,3941120
1980-04-01;9,47;7190,289;38,905;7367,9951800
1980-07-01;10,87;7181,743;39,774;7403,1209210
1980-10-01;18,90;7315,677;40,810;7440,2021610
1981-01-01;14,70;7459,022;41,885;7464,0412630
1981-04-01;19,10;7403,745;42,715;7511,0014710
1981-07-01;15,87;7492,405;43,519;7561,3443620
1981-10-01;12,37;7410,768;44,271;7614,9164010
1982-01-01;14,68;7295,631;44,880;7670,9357860
1982-04-01;14,15;7328,912;45,463;7728,7494070
1982-07-01;10,31;7300,896;46,108;7788,0574170
1982-10-01;8,95;7303,817;46,586;7848,8836400
1983-01-01;8,77;7400,066;46,938;7909,5267320
1983-04-01;8,98;7568,456;47,286;7971,5624300
1983-07-01;9,45;7719,746;47,789;8035,3662190
1983-10-01;9,47;7880,794;48,151;8101,7834300
1984-01-01;9,91;8034,847;48,639;8170,8285750
1984-04-01;11,06;8173,670;49,055;8242,4747020
1984-07-01;11,30;8252,465;49,491;8315,7990560
1984-10-01;8,38;8320,199;49,861;8390,3573470
1985-01-01;8,58;8400,820;50,354;8465,2930210
1985-04-01;7,53;8474,787;50,678;8540,4193800
1985-07-01;7,92;8604,220;50,984;8615,3390040
1985-10-01;8,27;8668,188;51,269;8689,6814320
1986-01-01;7,48;8749,127;51,524;8763,1692150
1986-04-01;6,92;8788,524;51,719;8835,9033680
1986-07-01;5,89;8872,601;51,931;8908,2121720
1986-10-01;6,91;8920,193;52,214;8980,8328550
1987-01-01;6,13;8986,367;52,548;9053,3348110
1987-04-01;6,73;9083,256;52,912;9125,6207530
1987-07-01;7,22;9162,024;53,313;9197,7702250
1987-10-01;6,77;9319,332;53,738;9270,5014620
1988-01-01;6,58;9367,502;54,159;9343,1415380
1988-04-01;7,51;9490,594;54,686;9416,3131060
1988-07-01;8,19;9546,206;55,340;9489,6920440
1988-10-01;8,76;9673,405;55,818;9563,5805160
1989-01-01;9,85;9771,725;56,400;9637,6550550
1989-04-01;9,53;9846,293;57,001;9711,8624880
1989-07-01;9,02;9919,228;57,417;9786,0599850
1989-10-01;8,45;9938,767;57,826;9860,0114120
1990-01-01;8,28;10047,386;58,450;9933,1606680
1990-04-01;8,29;10083,855;59,105;10005,1910000
1990-07-01;8,20;10090,569;59,611;10075,3519300
1990-10-01;7,31;9998,704;60,055;10143,6070800
1991-01-01;6,12;9951,916;60,643;10210,3138000
1991-04-01;5,90;10029,510;61,088;10275,3843300
1991-07-01;5,45;10080,195;61,566;10339,4016600
1991-10-01;4,43;10115,329;61,931;10403,4430700
1992-01-01;3,98;10236,435;62,161;10467,5322400
1992-04-01;3,76;10347,429;62,535;10532,4017900
1992-07-01;3,22;10449,673;62,841;10598,6170600
1992-10-01;2,92;10558,648;63,273;10665,7835600
1993-01-01;3,07;10576,275;63,628;10733,9601800
1993-04-01;3,04;10637,847;64,007;10804,0164800
1993-07-01;3,09;10688,606;64,387;10875,1620200
1993-10-01;2,96;10833,987;64,738;10947,4250200
1994-01-01;3,34;10939,116;65,048;11020,7294100
1994-04-01;4,25;11087,361;65,362;11094,9067900
1994-07-01;4,73;11152,176;65,737;11170,7464600
1994-10-01;5,45;11279,932;66,093;11247,9084100
1995-01-01;5,98;11319,951;66,452;11325,9380600
1995-04-01;6,00;11353,721;66,771;11405,4267800
1995-07-01;5,80;11450,310;67,100;11485,8669900
1995-10-01;5,60;11528,067;67,423;11568,4618900
1996-01-01;5,31;11614,418;67,747;11652,8613700
1996-04-01;5,27;11808,140;68,028;11742,5618800
1996-07-01;5,30;11914,063;68,251;11838,7608900
1996-10-01;5,29;12037,775;68,615;11941,2555300
1997-01-01;5,39;12115,472;69,025;12049,8129100
1997-04-01;5,56;12317,221;69,162;12163,5842900
1997-07-01;5,54;12471,010;69,464;12282,9370400
1997-10-01;5,50;12577,495;69,695;12406,5785300
1998-01-01;5,49;12703,742;69,794;12533,9907600
1998-04-01;5,56;12821,339;69,959;12665,3929300
1998-07-01;5,51;12982,752;70,255;12799,2137100
1998-10-01;4,68;13191,670;70,453;12935,6345800
1999-01-01;4,81;13315,597;70,682;13074,7504800
1999-04-01;4,76;13426,748;70,949;13215,6844400
1999-07-01;5,22;13604,771;71,200;13358,4611200
1999-10-01;5,30;13827,980;71,595;13503,5434900
2000-01-01;5,85;13878,147;72,071;13649,9917600
2000-04-01;6,53;14130,908;72,520;13792,7361400
2000-07-01;6,52;14145,312;72,944;13929,5020000
2000-10-01;6,40;14229,765;73,337;14059,3565100
2001-01-01;5,31;14183,120;73,822;14182,3870000
2001-04-01;3,97;14271,694;74,266;14298,4975100
2001-07-01;3,07;14214,516;74,558;14407,7051800
2001-10-01;1,82;14253,574;74,792;14510,9350600
2002-01-01;1,73;14372,785;75,027;14608,7368500
2002-04-01;1,75;14460,848;75,289;14702,8967000
2002-07-01;1,75;14519,633;75,650;14795,1382700
2002-10-01;1,24;14537,580;76,089;14886,1762400
2003-01-01;1,25;14614,141;76,461;14977,1989500
2003-04-01;1,22;14743,567;76,730;15069,0265000
2003-07-01;1,01;14988,782;77,169;15161,0130400
2003-10-01;0,98;15162,760;77,639;15254,3344200
2004-01-01;1,00;15248,680;78,193;15349,3686000
2004-04-01;1,03;15366,850;78,824;15445,7594900
2004-07-01;1,61;15512,619;79,324;15544,0956000
2004-10-01;2,16;15670,880;79,939;15643,3994400
2005-01-01;2,63;15844,727;80,578;15740,3620800
2005-04-01;3,04;15922,782;81,158;15833,9863500
2005-07-01;3,62;16047,587;81,898;15925,4839700
2005-10-01;4,16;16136,734;82,571;16014,1682200
2006-01-01;4,59;16353,835;83,156;16099,6102100
2006-04-01;4,99;16396,151;83,882;16182,6442000
2006-07-01;5,25;16420,738;84,468;16261,6159500
2006-10-01;5,24;16561,866;84,770;16336,3831800
2007-01-01;5,26;16611,690;85,576;16413,0841600
2007-04-01;5,25;16713,314;86,171;16492,8131300
2007-07-01;4,94;16809,587;86,642;16575,3612200
2007-10-01;4,24;16915,191;86,993;16658,2616000
2008-01-01;2,61;16843,003;87,315;16741,8355100
2008-04-01;2,00;16943,291;87,738;16824,0084600
2008-07-01;1,81;16854,295;88,399;16903,7513200
2008-10-01;0,16;16485,350;88,613;16979,7273800
2009-01-01;0,18;16298,262;88,543;17050,2336200
2009-04-01;0,21;16269,145;88,396;17116,4777200
2009-07-01;0,15;16326,281;88,501;17178,9702700
2009-10-01;0,12;16502,754;88,781;17239,5313200
2010-01-01;0,16;16582,710;89,036;17300,2921500
2010-04-01;0,18;16743,162;89,471;17362,1721800
2010-07-01;0,19;16872,266;89,743;17426,5058700
2010-10-01;0,18;16960,864;90,264;17492,5371900
2011-01-01;0,14;16920,632;90,726;17560,4955000
2011-04-01;0,09;17035,114;91,326;17630,4570800
2011-07-01;0,08;17031,313;91,876;17702,5718600
2011-10-01;0,07;17222,583;91,985;17776,2883900
2012-01-01;0,13;17367,010;92,525;17851,5485900
2012-04-01;0,16;17444,525;92,907;17928,8843000
2012-07-01;0,14;17469,650;93,417;18007,7846900
2012-10-01;0,16;17489,852;93,885;18088,0280300
2013-01-01;0,14;17662,400;94,258;18170,1777600
2013-04-01;0,09;17709,671;94,461;18253,5275600
2013-07-01;0,08;17860,450;94,924;18337,5990000
2013-10-01;0,09;18016,147;95,426;18422,9132900
2014-01-01;0,08;17953,974;95,788;18509,4430000
2014-04-01;0,10;18185,911;96,330;18597,0868400
2014-07-01;0,09;18406,941;96,726;18686,7863100
2014-10-01;0,12;18500,031;96,822;18777,7265600
2015-01-01;0,11;18666,621;96,769;18869,7746700
2015-04-01;0,13;18782,243;97,325;18963,0162600
2015-07-01;0,14;18857,418;97,583;19056,8383300
2015-10-01;0,24;18892,206;97,581;19150,9692000
2016-01-01;0,36;19001,690;97,496;19245,2221000
2016-04-01;0,38;19062,709;98,159;19339,7440500
2016-07-01;0,40;19197,938;98,410;19434,0623400
2016-10-01;0,54;19304,352;98,886;19528,0580300
2017-01-01;0,79;19398,343;99,390;19622,1718400
2017-04-01;1,04;19506,949;99,650;19717,0838500
2017-07-01;1,15;19660,766;100,162;19814,5016100
2017-10-01;1,30;19882,352;100,778;19914,2676100
2018-01-01;1,51;20044,077;101,419;20016,5431700
2018-04-01;1,82;20150,476;102,136;20121,6713800
2018-07-01;1,95;20276,154;102,577;20228,1296800
2018-10-01;2,27;20304,874;103,019;20335,0987300
2019-01-01;2,41;20431,641;103,328;20443,0330400
2019-04-01;2,38;20602,275;103,862;20551,1149300
2019-07-01;2,04;20843,322;104,192;20658,9966100
2019-10-01;1,55;20985,448;104,516;20763,9792000
2020-01-01;0,65;20709,212;105,032;20867,2769000
2020-04-01;0,08;19077,992;104,614;20970,4219500
2020-07-01;0,09;20558,879;105,572;21071,7626300
2020-10-01;0,09;20791,917;106,230;21174,3303400
2021-01-01;0,07;21082,134;107,583;21277,7031500
2021-04-01;0,08;21440,929;109,258;21382,8983500
2021-07-01;0,08;21617,828;110,938;21493,0191500
2021-10-01;0,08;21988,737;112,847;21606,0807600
2022-01-01;0,20;21932,710;115,126;21722,0248000
2022-04-01;1,21;21967,045;117,728;21840,5663600
2022-07-01;2,56;22125,625;119,031;21961,5350800
2022-10-01;4,10;22278,345;120,164;22084,9253600
2023-01-01;4,65;22439,607;121,288;22208,2425400
2023-04-01;5,08;22580,499;121,920;22333,1123900
2023-07-01;5,33;22840,989;122,914;22459,7406800
2023-10-01;5,33;23033,780;123,405;22588,1845900
2024-01-01;5,33;23082,119;124,374;22718,1300000
2024-04-01;5,33;23286,508;125,167;22849,8700000
2024-07-01;5,13;23478,570;125,696;22981,3200000
2024-10-01;4,48;23586,542;126,450;23113,3400000
2025-01-01;4,33;23548,210;127,577;23243,2200000
2025-04-01;4,33;23770,976;128,248;23376,0700000