observation_date;CH_GDP;CH_CPI;US_CPI;US_GDP
1996-01-01;1,22079;1,0650540;2,7397260;2,60131
1996-04-01;0,57775;0,7911302;2,8471310;4,00238
1996-07-01;-0,03197;0,6081141;2,9437420;4,05013
1996-10-01;0,47767;0,7837127;3,1901040;4,42145
1997-01-01;-0,21338;0,7325879;2,9462370;4,31407
1997-04-01;1,85524;0,5268150;2,3424190;4,31127
1997-07-01;3,29485;0,4671831;2,2029230;4,67470
1997-10-01;3,46646;0,3549454;1,8717140;4,48355
1998-01-01;3,96685;0,0037682;1,4622940;4,85553
1998-04-01;3,63770;0,0535116;1,6021640;4,09279
1998-07-01;2,33222;0,0921524;1,5958550;4,10345
1998-10-01;1,21801;-0,0775893;1,5483070;4,88313
1999-01-01;0,95202;0,2760184;1,6676960;4,81634
1999-04-01;0,37768;0,5812104;2,1093590;4,72189
1999-07-01;1,15741;0,9662702;2,3459810;4,79112
1999-10-01;4,24122;1,4028930;2,6224840;4,82357
2000-01-01;4,40853;1,5639580;3,2401780;4,22474
2000-04-01;3,80648;1,6073360;3,3293220;5,24446
2000-07-01;3,76685;1,4838090;3,5080730;3,97317
2000-10-01;2,58768;1,5791840;3,4271000;2,90559
2001-01-01;2,14597;1,0166930;3,3934880;2,19751
2001-04-01;2,40383;1,5042520;3,3773290;0,99630
2001-07-01;1,51389;1,0254910;2,6959370;0,48924
2001-10-01;0,33064;0,4138341;1,8578820;0,16732
2002-01-01;0,10700;0,5617604;1,2521340;1,33726
2002-04-01;0,65027;0,6894050;1,2955310;1,32538
2002-07-01;0,76774;0,3053551;1,5938500;2,14652
2002-10-01;-0,00388;1,0144210;2,2000750;1,99252
2003-01-01;-0,53789;1,0449330;2,8667790;1,67926
2003-04-01;-1,46823;0,5446356;2,1316030;1,95507
2003-07-01;-0,47663;0,4460655;2,1963830;3,23114
2003-10-01;1,35583;0,5199609;1,8951240;4,30044
2004-01-01;2,60502;0,0551516;1,7850640;4,34195
2004-04-01;3,40428;0,8657903;2,8675140;4,22749
2004-07-01;2,52586;0,9081330;2,7271080;3,49486
2004-10-01;1,82922;1,3806110;3,3224990;3,35110
2005-01-01;1,80929;1,3521470;3,0422330;3,90884
2005-04-01;2,75041;1,0590730;2,9463660;3,61774
2005-07-01;3,29904;1,1821210;3,8326300;3,44860
2005-10-01;3,93651;1,0970290;3,7399510;2,97274
2006-01-01;4,81227;1,2342400;3,6471000;3,21311
2006-04-01;3,77077;1,3274590;4,0102830;2,97290
2006-07-01;3,80634;1,2228460;3,3355910;2,32528
2006-10-01;4,16011;0,4588559;1,9373320;2,63456
2007-01-01;3,60140;0,0877767;2,4240950;1,57672
2007-04-01;4,35341;0,5242772;2,6506840;1,93437
2007-07-01;4,34189;0,6343362;2,3604780;2,36804
2007-10-01;3,63862;1,6794610;3,9743840;2,13336
2008-01-01;3,19569;2,4739820;4,0954280;1,39247
2008-04-01;3,54916;2,6841250;4,3793850;1,37601
2008-07-01;3,18224;2,9744790;5,3028140;0,26597
2008-10-01;0,23517;1,5814990;1,6016870;-2,54115
2009-01-01;-2,02603;-0,0163853;-0,0402325;-3,23423
2009-04-01;-3,28445;-0,7498824;-1,1504450;-3,97884
2009-07-01;-2,55220;-0,9702351;-1,6233600;-3,13282
2009-10-01;0,16246;-0,1779382;1,4439340;0,10557
2010-01-01;3,12702;1,1185040;2,3605250;1,74527
2010-04-01;3,61427;0,9880827;1,7677650;2,91360
2010-07-01;3,01540;0,3316418;1,1756090;3,34421
2010-10-01;3,28772;0,3181066;1,2702480;2,77596
2011-01-01;2,29644;0,5979713;2,1411270;2,03780
2011-04-01;1,98945;0,3971071;3,4303950;1,74371
2011-07-01;0,93190;0,3833669;3,7561740;0,94265
2011-10-01;0,43546;-0,4512661;3,2937770;1,54308
2012-01-01;0,87789;-0,8760378;2,8151920;2,63807
2012-04-01;0,44644;-1,0189590;1,8897650;2,40334
2012-07-01;1,65444;-0,5262947;1,6977840;2,57371
2012-10-01;1,51990;-0,3438655;1,8893650;1,55185
2013-01-01;1,15639;-0,3736483;1,6818290;1,70087
2013-04-01;2,11006;-0,4235046;1,3928500;1,51994
2013-07-01;2,06167;-0,0342748;1,5533590;2,23702
2013-10-01;2,01295;-0,0364429;1,2334710;3,00914
2014-01-01;2,49167;-0,0280278;1,4054560;1,65082
2014-04-01;2,32897;0,1028157;2,0508460;2,68915
2014-07-01;2,42636;0,0052520;1,7831540;3,05978
2014-10-01;2,92407;-0,1330782;1,2480280;2,68584
2015-01-01;1,79257;-0,7334286;-0,0626959;3,96930
2015-04-01;1,21677;-1,1139390;-0,0382720;3,27909
2015-07-01;1,37850;-1,3740630;0,1095034;2,44732
2015-10-01;1,43381;-1,3536520;0,4662646;2,11986
2016-01-01;2,12397;-0,9853968;1,0802670;1,79502
2016-04-01;2,67415;-0,3886943;1,0470630;1,49325
2016-07-01;1,89080;-0,1758546;1,1176150;1,80576
2016-10-01;0,97294;-0,1861681;1,8006210;2,18157
2017-01-01;1,03130;0,5210742;2,5393200;2,08746
2017-04-01;0,69085;0,3713557;1,9019910;2,33041
2017-07-01;1,35507;0,4813237;1,9669250;2,41082
2017-10-01;2,60249;0,7621470;2,1175580;2,99414
2018-01-01;3,59880;0,7212598;2,2141950;3,32881
2018-04-01;4,43036;0,9830431;2,7118870;3,29896
2018-07-01;2,94986;1,1334900;2,6409400;3,13003
2018-10-01;2,35242;0,9067588;2,2031310;2,12511
2019-01-01;1,18297;0,6227953;1,6449360;1,93356
2019-04-01;0,46019;0,6474320;1,8113760;2,24213
2019-07-01;1,56382;0,2593236;1,7574880;2,79722
2019-10-01;1,25827;-0,0765274;2,0329140;3,35178
2020-01-01;0,04483;-0,1261417;2,1186520;1,35854
2020-04-01;-6,90428;-1,2209270;0,3642956;-7,39861
2020-07-01;-1,44949;-0,8620005;1,2223860;-1,36467
2020-10-01;-0,71222;-0,6896046;1,2394880;-0,92222
2021-01-01;0,96446;-0,4310983;1,8985140;1,80075
2021-04-01;10,94089;0,4944600;4,8489450;12,38567
2021-07-01;6,58931;0,8342547;5,3356930;5,15081
2021-10-01;6,51830;1,4350840;6,6891060;5,75618
2022-01-01;6,22503;2,0625410;7,9667070;4,03458
2022-04-01;3,98833;2,9589640;8,6356120;2,45379
2022-07-01;2,34263;3,3793090;8,3294750;2,34897
2022-10-01;1,73406;2,9321980;7,1016720;1,31707
2023-01-01;1,83308;3,1992170;5,8047700;2,31115
2023-04-01;0,56981;2,1433400;3,9742920;2,79261
2023-07-01;0,39398;1,6046620;3,5142900;3,23319
2023-10-01;0,51639;1,6172600;3,2434010;3,39089
2024-01-01;0,08255;1,1636350;3,2410190;2,86329
2024-04-01;1,92935;1,3619830;3,1988860;3,12663
2024-07-01;1,88497;1,0645450;2,6214930;2,79139
2024-10-01;1,66876;0,6600044;2,7449680;2,39979
2025-01-01;2,43952;0,3561095;2,7363000;2,01927